Id,Predicted
120,NEUTRAL
121,NEUTRAL
122,NEGATIVE
123,POSITIVE
124,NEGATIVE
125,NEGATIVE
126,POSITIVE
127,NEGATIVE
128,NEGATIVE
129,POSITIVE
130,POSITIVE
131,POSITIVE
132,POSITIVE
133,NEGATIVE
134,NEGATIVE
135,POSITIVE
136,NEUTRAL
137,NEGATIVE
138,POSITIVE
139,POSITIVE
140,NEUTRAL
141,NEGATIVE
142,NEGATIVE
143,NEUTRAL
144,NEGATIVE
145,NEUTRAL
146,NEUTRAL
147,NEGATIVE
148,POSITIVE
149,NEUTRAL
150,POSITIVE
151,POSITIVE
152,NEGATIVE
153,NEGATIVE
154,NEGATIVE
155,NEUTRAL
156,NEUTRAL
157,NEGATIVE
158,NEUTRAL
159,NEGATIVE
160,NEGATIVE
161,NEGATIVE
162,NEGATIVE
163,NEGATIVE
164,NEUTRAL
165,NEGATIVE
166,NEGATIVE
167,NEGATIVE
168,NEUTRAL
169,NEGATIVE
170,NEGATIVE
171,NEGATIVE
172,NEGATIVE
173,NEGATIVE
174,POSITIVE
175,NEGATIVE
176,POSITIVE
177,NEGATIVE
178,NEGATIVE
179,NEGATIVE
180,POSITIVE
181,POSITIVE
182,NEGATIVE
183,NEGATIVE
184,NEUTRAL
185,NEGATIVE
186,NEGATIVE
187,NEUTRAL
188,NEGATIVE
189,POSITIVE
190,POSITIVE
191,NEGATIVE
192,POSITIVE
193,NEUTRAL
194,NEGATIVE
195,POSITIVE
196,NEGATIVE
197,NEGATIVE
198,NEGATIVE
199,NEGATIVE
200,NEGATIVE
201,POSITIVE
202,NEGATIVE
203,POSITIVE
204,NEGATIVE
205,NEGATIVE
206,NEGATIVE
207,NEGATIVE
208,NEUTRAL
209,POSITIVE
210,POSITIVE
211,NEGATIVE
212,POSITIVE
213,NEGATIVE
214,NEGATIVE
215,NEGATIVE
216,NEGATIVE
217,NEGATIVE
218,NEUTRAL
219,NEGATIVE
220,NEGATIVE
221,NEUTRAL
222,NEGATIVE
223,POSITIVE
224,NEGATIVE
225,NEGATIVE
226,NEGATIVE
227,NEGATIVE
228,NEUTRAL
229,POSITIVE
230,POSITIVE
231,POSITIVE
232,POSITIVE
233,POSITIVE
234,NEGATIVE
235,NEGATIVE
236,NEGATIVE
237,NEGATIVE
238,POSITIVE
239,POSITIVE
240,NEGATIVE
241,NEGATIVE
242,NEGATIVE
243,POSITIVE
244,NEGATIVE
245,NEUTRAL
246,NEGATIVE
247,NEGATIVE
248,NEUTRAL
249,POSITIVE
250,NEGATIVE
251,POSITIVE
252,POSITIVE
253,NEGATIVE
254,POSITIVE
255,POSITIVE
256,NEUTRAL
257,NEGATIVE
258,NEGATIVE
259,NEGATIVE
260,POSITIVE
261,NEUTRAL
262,POSITIVE
263,POSITIVE
264,NEUTRAL
265,NEUTRAL
266,POSITIVE
267,NEGATIVE
268,NEGATIVE
269,POSITIVE
270,NEGATIVE
271,NEUTRAL
272,POSITIVE
273,NEGATIVE
274,NEUTRAL
275,POSITIVE
276,NEUTRAL
277,NEGATIVE
278,POSITIVE
279,NEUTRAL
280,POSITIVE
281,NEGATIVE
282,POSITIVE
283,NEGATIVE
284,NEGATIVE
285,NEGATIVE
286,NEGATIVE
287,NEGATIVE
288,POSITIVE
289,NEGATIVE
290,POSITIVE
291,POSITIVE
292,POSITIVE
293,NEGATIVE
294,NEUTRAL
295,NEGATIVE
296,NEGATIVE
297,POSITIVE
298,POSITIVE
299,NEGATIVE
300,NEGATIVE
301,POSITIVE
302,POSITIVE
303,NEGATIVE
304,POSITIVE
305,POSITIVE
306,NEUTRAL
307,NEGATIVE
308,NEUTRAL
309,POSITIVE
310,NEGATIVE
311,NEGATIVE
312,NEUTRAL
313,NEGATIVE
314,NEGATIVE
315,NEGATIVE
316,NEGATIVE
317,POSITIVE
318,NEGATIVE
319,NEUTRAL
320,NEUTRAL
321,NEUTRAL
322,NEUTRAL
323,NEUTRAL
324,NEGATIVE
325,NEGATIVE
326,POSITIVE
327,POSITIVE
328,NEGATIVE
329,NEUTRAL
330,NEGATIVE
331,POSITIVE
332,POSITIVE
333,NEGATIVE
334,NEUTRAL
335,POSITIVE
336,POSITIVE
337,NEUTRAL
338,NEGATIVE
339,POSITIVE
340,NEUTRAL
341,POSITIVE
342,NEGATIVE
343,POSITIVE
344,NEGATIVE
345,POSITIVE
346,NEUTRAL
347,NEUTRAL
348,NEUTRAL
349,NEGATIVE
350,POSITIVE
351,NEUTRAL
352,POSITIVE
353,NEUTRAL
354,NEUTRAL
355,NEGATIVE
356,NEGATIVE
357,NEUTRAL
358,NEGATIVE
359,POSITIVE
360,POSITIVE
361,NEGATIVE
362,NEGATIVE
363,NEGATIVE
364,NEGATIVE
365,NEUTRAL
366,POSITIVE
367,NEGATIVE
368,NEUTRAL
369,NEGATIVE
370,POSITIVE
371,POSITIVE
372,NEUTRAL
373,NEUTRAL
374,NEUTRAL
375,NEGATIVE
376,NEGATIVE
377,NEUTRAL
378,POSITIVE
379,POSITIVE
380,NEGATIVE
381,NEGATIVE
382,NEUTRAL
383,NEGATIVE
384,NEGATIVE
385,NEUTRAL
386,POSITIVE
387,POSITIVE
388,NEUTRAL
389,NEGATIVE
390,NEUTRAL
391,NEGATIVE
392,NEGATIVE
393,NEGATIVE
394,NEUTRAL
395,NEUTRAL
396,NEUTRAL
397,NEUTRAL
398,NEGATIVE
399,NEGATIVE
400,POSITIVE
401,NEGATIVE
402,NEUTRAL
403,NEUTRAL
404,NEGATIVE
405,POSITIVE
406,NEGATIVE
407,NEGATIVE
408,POSITIVE
409,NEGATIVE
410,NEGATIVE
411,NEGATIVE
412,NEUTRAL
413,NEGATIVE
414,NEGATIVE
415,POSITIVE
416,NEUTRAL
417,NEGATIVE
418,POSITIVE
419,POSITIVE
420,NEUTRAL
421,NEGATIVE
422,POSITIVE
423,NEUTRAL
424,NEGATIVE
425,POSITIVE
426,NEUTRAL
427,NEGATIVE
428,POSITIVE
429,NEGATIVE
430,NEGATIVE
431,POSITIVE
432,NEGATIVE
433,NEUTRAL
434,NEUTRAL
435,NEUTRAL
436,NEGATIVE
437,NEGATIVE
438,NEUTRAL
439,POSITIVE
440,POSITIVE
441,NEGATIVE
442,NEUTRAL
443,NEGATIVE
444,NEGATIVE
445,NEGATIVE
446,NEGATIVE
447,NEGATIVE
448,POSITIVE
449,NEGATIVE
450,NEGATIVE
451,NEGATIVE
452,POSITIVE
453,POSITIVE
454,POSITIVE
455,NEGATIVE
456,NEGATIVE
457,NEGATIVE
458,NEUTRAL
459,NEUTRAL
460,NEGATIVE
461,NEGATIVE
462,NEUTRAL
463,POSITIVE
464,NEGATIVE
465,NEUTRAL
466,POSITIVE
467,NEGATIVE
468,NEGATIVE
469,POSITIVE
470,NEGATIVE
471,POSITIVE
472,NEUTRAL
473,NEGATIVE
474,NEGATIVE
475,POSITIVE
476,POSITIVE
477,NEGATIVE
478,NEGATIVE
479,POSITIVE
480,NEGATIVE
481,POSITIVE
482,NEGATIVE
483,POSITIVE
484,NEGATIVE
485,NEGATIVE
486,NEUTRAL
487,POSITIVE
488,NEUTRAL
489,POSITIVE
490,NEGATIVE
491,NEUTRAL
492,POSITIVE
493,NEUTRAL
494,POSITIVE
495,NEGATIVE
496,NEGATIVE
497,POSITIVE
498,NEUTRAL
499,POSITIVE
500,NEGATIVE
501,NEUTRAL
502,NEGATIVE
503,POSITIVE
504,POSITIVE
505,NEGATIVE
506,POSITIVE
507,NEGATIVE
508,POSITIVE
509,NEGATIVE
510,NEGATIVE
511,POSITIVE
512,POSITIVE
513,NEGATIVE
514,NEGATIVE
515,POSITIVE
516,POSITIVE
517,POSITIVE
518,NEUTRAL
519,NEGATIVE
520,NEUTRAL
521,POSITIVE
522,POSITIVE
523,NEUTRAL
524,NEUTRAL
525,NEUTRAL
526,POSITIVE
527,NEGATIVE
528,POSITIVE
529,POSITIVE
530,NEUTRAL
531,NEUTRAL
532,NEGATIVE
533,NEGATIVE
534,POSITIVE
535,NEUTRAL
536,NEGATIVE
537,POSITIVE
538,POSITIVE
539,NEGATIVE
540,NEGATIVE
541,NEGATIVE
542,NEGATIVE
543,NEGATIVE
544,POSITIVE
545,POSITIVE
546,NEGATIVE
547,NEGATIVE
548,NEGATIVE
549,NEGATIVE
550,NEGATIVE
551,POSITIVE
552,POSITIVE
553,NEUTRAL
554,NEGATIVE
555,NEUTRAL
556,NEUTRAL
557,NEUTRAL
558,NEGATIVE
559,NEGATIVE
560,NEGATIVE
561,POSITIVE
562,NEGATIVE
563,NEGATIVE
564,NEGATIVE
565,NEGATIVE
566,NEGATIVE
567,POSITIVE
568,NEGATIVE
569,POSITIVE
570,NEGATIVE
571,NEUTRAL
572,POSITIVE
573,NEGATIVE
574,NEUTRAL
575,NEUTRAL
576,NEGATIVE
577,NEGATIVE
578,POSITIVE
579,NEUTRAL
580,POSITIVE
581,POSITIVE
582,NEGATIVE
583,NEUTRAL
584,NEGATIVE
585,NEUTRAL
586,POSITIVE
587,NEGATIVE
588,NEGATIVE
589,NEUTRAL
590,POSITIVE
591,NEGATIVE
592,NEUTRAL
593,NEUTRAL
594,POSITIVE
595,NEGATIVE
596,NEGATIVE
597,POSITIVE
598,POSITIVE
599,NEUTRAL
600,POSITIVE
601,POSITIVE
602,NEUTRAL
603,POSITIVE
604,POSITIVE
605,NEGATIVE
606,NEGATIVE
607,NEGATIVE
608,POSITIVE
609,NEGATIVE
610,NEUTRAL
611,NEGATIVE
612,NEGATIVE
613,NEGATIVE
614,NEUTRAL
615,POSITIVE
616,NEGATIVE
617,NEGATIVE
618,NEGATIVE
619,NEGATIVE
620,POSITIVE
621,NEGATIVE
622,POSITIVE
623,NEUTRAL
624,NEGATIVE
625,NEUTRAL
626,NEUTRAL
627,POSITIVE
628,NEUTRAL
629,NEUTRAL
630,NEGATIVE
631,POSITIVE
632,NEGATIVE
633,POSITIVE
634,POSITIVE
635,POSITIVE
636,NEGATIVE
637,POSITIVE
638,NEGATIVE
639,NEGATIVE
640,POSITIVE
641,POSITIVE
642,NEUTRAL
643,NEGATIVE
644,NEGATIVE
645,NEGATIVE
646,NEGATIVE
647,NEGATIVE
648,NEGATIVE
649,POSITIVE
650,NEGATIVE
651,POSITIVE
652,POSITIVE
653,NEGATIVE
654,NEGATIVE
655,NEUTRAL
656,NEGATIVE
657,NEUTRAL
658,NEGATIVE
659,NEGATIVE
660,NEUTRAL
661,NEGATIVE
662,POSITIVE
663,NEGATIVE
664,POSITIVE
665,NEGATIVE
666,NEGATIVE
667,NEGATIVE
668,POSITIVE
669,POSITIVE
670,POSITIVE
671,NEGATIVE
672,POSITIVE
673,NEGATIVE
674,NEGATIVE
675,NEUTRAL
676,POSITIVE
677,NEGATIVE
678,NEUTRAL
679,POSITIVE
680,NEGATIVE
681,NEUTRAL
682,NEGATIVE
683,NEGATIVE
684,NEUTRAL
685,NEUTRAL
686,NEGATIVE
687,POSITIVE
688,NEGATIVE
689,NEUTRAL
690,NEUTRAL
691,POSITIVE
692,NEGATIVE
693,NEUTRAL
694,NEGATIVE
695,NEGATIVE
696,NEGATIVE
697,NEGATIVE
698,NEGATIVE
699,NEGATIVE
700,NEUTRAL
701,NEGATIVE
702,NEGATIVE
703,NEGATIVE
704,NEUTRAL
705,NEUTRAL
706,POSITIVE
707,NEGATIVE
708,NEGATIVE
709,NEGATIVE
710,POSITIVE
711,NEUTRAL
712,POSITIVE
713,NEGATIVE
714,POSITIVE
715,NEGATIVE
716,NEUTRAL
717,POSITIVE
718,NEUTRAL
719,NEUTRAL
720,NEGATIVE
721,NEGATIVE
722,NEGATIVE
723,NEUTRAL
724,POSITIVE
725,NEGATIVE
726,NEGATIVE
727,NEGATIVE
728,NEGATIVE
729,NEUTRAL
730,NEUTRAL
731,NEGATIVE
732,POSITIVE
733,NEGATIVE
734,POSITIVE
735,POSITIVE
736,NEGATIVE
737,NEGATIVE
738,POSITIVE
739,POSITIVE
740,NEUTRAL
741,POSITIVE
742,NEGATIVE
743,POSITIVE
744,NEGATIVE
745,POSITIVE
746,NEGATIVE
747,NEGATIVE
748,NEUTRAL
749,POSITIVE
750,NEGATIVE
751,NEGATIVE
752,NEUTRAL
753,POSITIVE
754,POSITIVE
755,NEGATIVE
756,NEGATIVE
757,NEGATIVE
758,POSITIVE
759,POSITIVE
760,POSITIVE
761,POSITIVE
762,POSITIVE
763,NEGATIVE
764,NEGATIVE
765,POSITIVE
766,NEUTRAL
767,NEGATIVE
768,NEGATIVE
769,NEGATIVE
770,NEGATIVE
771,NEGATIVE
772,NEGATIVE
773,NEUTRAL
774,POSITIVE
775,NEGATIVE
776,NEGATIVE
777,POSITIVE
778,NEUTRAL
779,NEUTRAL
780,NEGATIVE
781,POSITIVE
782,NEGATIVE
783,POSITIVE
784,POSITIVE
785,NEUTRAL
786,POSITIVE
787,NEGATIVE
788,NEGATIVE
789,NEGATIVE
790,NEGATIVE
791,NEGATIVE
792,NEGATIVE
793,NEGATIVE
794,NEUTRAL
795,NEGATIVE
796,NEUTRAL
797,NEUTRAL
798,NEUTRAL
799,NEUTRAL
800,NEGATIVE
801,NEGATIVE
802,NEGATIVE
803,POSITIVE
804,NEGATIVE
805,NEGATIVE
806,NEGATIVE
807,POSITIVE
808,NEGATIVE
809,NEGATIVE
810,NEGATIVE
811,NEGATIVE
812,POSITIVE
813,POSITIVE
814,POSITIVE
815,POSITIVE
816,POSITIVE
817,POSITIVE
818,NEUTRAL
819,NEUTRAL
820,POSITIVE
821,NEUTRAL
822,POSITIVE
823,NEUTRAL
824,NEGATIVE
825,NEUTRAL
826,NEUTRAL
827,NEGATIVE
828,NEGATIVE
829,NEUTRAL
830,NEGATIVE
831,NEGATIVE
832,NEUTRAL
833,NEGATIVE
834,POSITIVE
835,NEUTRAL
836,NEGATIVE
837,NEGATIVE
838,NEGATIVE
839,NEGATIVE
840,NEGATIVE
841,NEGATIVE
842,NEGATIVE
843,NEGATIVE
844,NEUTRAL
845,NEGATIVE
846,POSITIVE
847,NEGATIVE
848,NEGATIVE
849,NEGATIVE
850,NEGATIVE
851,NEGATIVE
852,NEUTRAL
853,NEGATIVE
854,NEGATIVE
855,NEUTRAL
856,NEGATIVE
857,POSITIVE
858,NEGATIVE
859,NEUTRAL
860,NEGATIVE
861,POSITIVE
862,NEGATIVE
863,NEGATIVE
864,POSITIVE
865,NEGATIVE
866,POSITIVE
867,NEGATIVE
868,NEGATIVE
869,NEGATIVE
870,POSITIVE
871,NEUTRAL
872,POSITIVE
873,POSITIVE
874,NEGATIVE
875,NEGATIVE
876,POSITIVE
877,NEGATIVE
878,NEGATIVE
879,NEGATIVE
880,NEUTRAL
881,POSITIVE
882,POSITIVE
883,POSITIVE
884,POSITIVE
885,NEUTRAL
886,NEUTRAL
887,NEGATIVE
888,NEUTRAL
889,NEGATIVE
890,NEGATIVE
891,POSITIVE
892,NEGATIVE
893,POSITIVE
894,NEUTRAL
895,NEGATIVE
896,POSITIVE
897,POSITIVE
898,NEUTRAL
899,NEGATIVE
900,NEUTRAL
901,NEGATIVE
902,NEGATIVE
903,NEGATIVE
904,NEGATIVE
905,POSITIVE
906,NEGATIVE
907,NEUTRAL
908,NEUTRAL
909,NEUTRAL
910,POSITIVE
911,POSITIVE
912,NEUTRAL
913,NEUTRAL
914,POSITIVE
915,NEUTRAL
916,NEGATIVE
917,NEGATIVE
918,NEUTRAL
919,POSITIVE
920,POSITIVE
921,NEGATIVE
922,POSITIVE
923,POSITIVE
924,POSITIVE
925,NEGATIVE
926,NEUTRAL
927,NEUTRAL
928,NEGATIVE
929,NEGATIVE
930,POSITIVE
931,POSITIVE
932,NEGATIVE
933,NEUTRAL
934,NEUTRAL
935,POSITIVE
936,POSITIVE
937,NEGATIVE
938,NEGATIVE
939,NEGATIVE
940,NEGATIVE
941,POSITIVE
942,POSITIVE
943,POSITIVE
944,NEGATIVE
945,NEGATIVE
946,NEGATIVE
947,NEGATIVE
948,NEGATIVE
949,POSITIVE
950,POSITIVE
951,NEGATIVE
952,NEUTRAL
953,POSITIVE
954,POSITIVE
955,NEGATIVE
956,NEGATIVE
957,POSITIVE
958,POSITIVE
959,NEGATIVE
960,NEGATIVE
961,POSITIVE
962,NEGATIVE
963,NEUTRAL
964,NEGATIVE
965,POSITIVE
966,POSITIVE
967,POSITIVE
968,NEUTRAL
969,POSITIVE
970,NEGATIVE
971,NEGATIVE
972,POSITIVE
973,NEGATIVE
974,NEGATIVE
975,NEGATIVE
976,NEGATIVE
977,POSITIVE
978,POSITIVE
979,NEGATIVE
980,POSITIVE
981,NEGATIVE
982,NEGATIVE
983,NEUTRAL
984,NEUTRAL
985,NEGATIVE
986,NEGATIVE
987,NEUTRAL
988,POSITIVE
989,NEUTRAL
990,NEGATIVE
991,POSITIVE
992,NEGATIVE
993,NEUTRAL
994,NEGATIVE
995,NEUTRAL
996,POSITIVE
997,NEGATIVE
998,NEGATIVE
999,NEGATIVE
1000,NEGATIVE
1001,POSITIVE
1002,POSITIVE
1003,NEGATIVE
1004,POSITIVE
1005,POSITIVE
1006,POSITIVE
1007,NEUTRAL
1008,NEGATIVE
1009,POSITIVE
1010,NEGATIVE
1011,POSITIVE
1012,POSITIVE
1013,NEUTRAL
1014,POSITIVE
1015,POSITIVE
1016,NEGATIVE
1017,NEUTRAL
1018,POSITIVE
1019,NEGATIVE
1020,POSITIVE
1021,NEGATIVE
1022,NEGATIVE
1023,NEGATIVE
1024,POSITIVE
1025,POSITIVE
1026,NEUTRAL
1027,NEUTRAL
1028,NEGATIVE
1029,NEGATIVE
1030,NEUTRAL
1031,NEUTRAL
1032,NEGATIVE
1033,NEGATIVE
1034,POSITIVE
1035,POSITIVE
1036,POSITIVE
1037,POSITIVE
1038,NEGATIVE
1039,NEGATIVE
1040,NEGATIVE
1041,POSITIVE
1042,NEGATIVE
1043,NEGATIVE
1044,POSITIVE
1045,NEUTRAL
1046,NEGATIVE
1047,NEGATIVE
1048,NEGATIVE
1049,NEGATIVE
1050,NEGATIVE
1051,POSITIVE
1052,NEGATIVE
1053,NEGATIVE
1054,POSITIVE
1055,POSITIVE
1056,NEGATIVE
1057,NEGATIVE
1058,NEGATIVE
1059,NEUTRAL
1060,POSITIVE
1061,POSITIVE
1062,POSITIVE
1063,POSITIVE
1064,POSITIVE
1065,NEGATIVE
1066,NEGATIVE
1067,NEGATIVE
1068,NEGATIVE
1069,NEGATIVE
1070,POSITIVE
1071,NEUTRAL
1072,NEGATIVE
1073,NEUTRAL
1074,NEGATIVE
1075,NEGATIVE
1076,POSITIVE
1077,NEUTRAL
1078,NEUTRAL
1079,NEGATIVE
1080,POSITIVE
1081,NEGATIVE
1082,NEUTRAL
1083,NEUTRAL
1084,NEUTRAL
1085,NEGATIVE
1086,NEGATIVE
1087,NEGATIVE
1088,NEGATIVE
1089,NEGATIVE
1090,NEGATIVE
1091,POSITIVE
1092,NEUTRAL
1093,POSITIVE
1094,POSITIVE
1095,NEGATIVE
1096,NEGATIVE
1097,NEGATIVE
1098,NEGATIVE
1099,NEGATIVE
1100,NEGATIVE
1101,NEGATIVE
1102,NEGATIVE
1103,POSITIVE
1104,POSITIVE
1105,NEGATIVE
1106,POSITIVE
1107,NEGATIVE
1108,NEUTRAL
1109,NEGATIVE
1110,NEGATIVE
1111,POSITIVE
1112,NEUTRAL
1113,NEGATIVE
1114,NEGATIVE
1115,NEGATIVE
1116,NEUTRAL
1117,NEUTRAL
1118,NEUTRAL
1119,POSITIVE
1120,NEGATIVE
1121,NEGATIVE
1122,NEGATIVE
1123,NEUTRAL
1124,POSITIVE
1125,NEGATIVE
1126,POSITIVE
1127,NEUTRAL
1128,POSITIVE
1129,POSITIVE
1130,POSITIVE
1131,NEGATIVE
1132,POSITIVE
1133,NEGATIVE
1134,POSITIVE
1135,NEUTRAL
1136,NEUTRAL
1137,POSITIVE
1138,NEGATIVE
1139,POSITIVE
1140,POSITIVE
1141,NEGATIVE
1142,NEUTRAL
1143,NEUTRAL
1144,POSITIVE
1145,NEGATIVE
1146,POSITIVE
1147,NEUTRAL
1148,POSITIVE
1149,NEUTRAL
1150,NEUTRAL
1151,POSITIVE
1152,NEGATIVE
1153,POSITIVE
1154,POSITIVE
1155,NEGATIVE
1156,POSITIVE
1157,POSITIVE
1158,NEGATIVE
1159,NEGATIVE
1160,NEGATIVE
1161,NEGATIVE
1162,NEUTRAL
1163,NEUTRAL
1164,POSITIVE
1165,NEGATIVE
1166,POSITIVE
1167,NEUTRAL
1168,NEGATIVE
1169,NEGATIVE
1170,POSITIVE
1171,NEGATIVE
1172,NEGATIVE
1173,POSITIVE
1174,POSITIVE
1175,NEGATIVE
1176,POSITIVE
1177,NEGATIVE
1178,NEGATIVE
1179,NEGATIVE
1180,POSITIVE
1181,NEGATIVE
1182,NEGATIVE
1183,NEGATIVE
1184,NEUTRAL
1185,POSITIVE
1186,POSITIVE
1187,NEGATIVE
1188,POSITIVE
1189,NEUTRAL
1190,POSITIVE
1191,POSITIVE
1192,POSITIVE
1193,POSITIVE
1194,POSITIVE
1195,NEGATIVE
1196,NEGATIVE
1197,NEGATIVE
1198,NEGATIVE
1199,NEGATIVE
1200,POSITIVE
1201,NEUTRAL
1202,NEGATIVE
1203,POSITIVE
1204,NEUTRAL
1205,POSITIVE
1206,NEGATIVE
1207,NEGATIVE
1208,POSITIVE
1209,POSITIVE
1210,NEUTRAL
1211,NEGATIVE
1212,NEGATIVE
1213,NEUTRAL
1214,NEGATIVE
1215,POSITIVE
1216,NEGATIVE
1217,NEGATIVE
1218,NEGATIVE
1219,NEUTRAL
1220,NEGATIVE
1221,NEGATIVE
1222,NEGATIVE
1223,NEUTRAL
1224,NEGATIVE
1225,NEUTRAL
1226,POSITIVE
1227,POSITIVE
1228,NEGATIVE
1229,NEUTRAL
1230,NEGATIVE
1231,POSITIVE
1232,NEGATIVE
1233,NEGATIVE
1234,NEGATIVE
1235,POSITIVE
1236,NEGATIVE
1237,NEUTRAL
1238,NEGATIVE
1239,NEUTRAL
1240,NEGATIVE
1241,NEUTRAL
1242,NEUTRAL
1243,POSITIVE
1244,NEUTRAL
1245,POSITIVE
1246,NEGATIVE
1247,NEGATIVE
1248,NEGATIVE
1249,POSITIVE
1250,POSITIVE
1251,NEUTRAL
1252,NEGATIVE
1253,NEUTRAL
1254,POSITIVE
1255,NEGATIVE
1256,POSITIVE
1257,POSITIVE
1258,NEGATIVE
1259,NEGATIVE
1260,NEUTRAL
1261,NEUTRAL
1262,NEUTRAL
1263,POSITIVE
1264,NEUTRAL
1265,NEUTRAL
1266,POSITIVE
1267,NEGATIVE
1268,NEGATIVE
1269,NEGATIVE
1270,POSITIVE
1271,NEGATIVE
1272,POSITIVE
1273,NEGATIVE
1274,NEGATIVE
1275,NEUTRAL
1276,POSITIVE
1277,NEGATIVE
1278,POSITIVE
1279,NEUTRAL
1280,NEUTRAL
1281,POSITIVE
1282,NEGATIVE
1283,NEGATIVE
1284,NEUTRAL
1285,NEUTRAL
1286,NEUTRAL
1287,POSITIVE
1288,POSITIVE
1289,NEUTRAL
1290,POSITIVE
1291,POSITIVE
1292,NEGATIVE
1293,POSITIVE
1294,NEGATIVE
1295,NEGATIVE
1296,NEUTRAL
1297,POSITIVE
1298,POSITIVE
1299,POSITIVE
1300,POSITIVE
1301,NEGATIVE
1302,NEGATIVE
1303,NEUTRAL
1304,NEGATIVE
1305,NEGATIVE
1306,POSITIVE
1307,NEGATIVE
1308,NEGATIVE
1309,NEGATIVE
1310,NEGATIVE
1311,POSITIVE
1312,NEGATIVE
1313,NEGATIVE
1314,NEGATIVE
1315,NEGATIVE
1316,POSITIVE
1317,NEGATIVE
1318,POSITIVE
1319,NEGATIVE
1320,NEUTRAL
1321,POSITIVE
1322,NEGATIVE
1323,NEGATIVE
1324,NEUTRAL
1325,NEGATIVE
1326,NEUTRAL
1327,NEGATIVE
1328,NEUTRAL
1329,NEGATIVE
1330,NEGATIVE
1331,POSITIVE
1332,NEGATIVE
1333,NEGATIVE
1334,NEGATIVE
1335,NEGATIVE
1336,NEUTRAL
1337,NEUTRAL
1338,POSITIVE
1339,NEUTRAL
1340,POSITIVE
1341,NEGATIVE
1342,NEGATIVE
1343,NEGATIVE
1344,POSITIVE
1345,POSITIVE
1346,NEGATIVE
1347,NEGATIVE
1348,NEGATIVE
1349,POSITIVE
1350,POSITIVE
1351,NEGATIVE
1352,NEGATIVE
1353,NEUTRAL
1354,NEGATIVE
1355,NEGATIVE
1356,NEGATIVE
1357,NEGATIVE
1358,NEGATIVE
1359,NEGATIVE
1360,POSITIVE
1361,NEGATIVE
1362,POSITIVE
1363,POSITIVE
1364,NEGATIVE
1365,POSITIVE
1366,POSITIVE
1367,NEGATIVE
1368,POSITIVE
1369,NEUTRAL
1370,NEGATIVE
1371,POSITIVE
1372,POSITIVE
1373,NEGATIVE
1374,NEUTRAL
1375,NEGATIVE
1376,NEGATIVE
1377,POSITIVE
1378,NEGATIVE
1379,NEGATIVE
1380,NEUTRAL
1381,NEGATIVE
1382,NEGATIVE
1383,NEGATIVE
1384,NEUTRAL
1385,NEGATIVE
1386,NEGATIVE
1387,POSITIVE
1388,NEUTRAL
1389,POSITIVE
1390,NEGATIVE
1391,NEUTRAL
1392,NEGATIVE
1393,NEGATIVE
1394,NEUTRAL
1395,POSITIVE
1396,NEGATIVE
1397,NEGATIVE
1398,POSITIVE
1399,NEUTRAL
1400,NEGATIVE
1401,NEGATIVE
